--- LOG TRENINGU AUTONOMICZNEGO PARKOWANIA ---
Krok: 0020000 | Srednia nagroda: -120.28 | Skutecznosc: 0.0% *** NOWY REKORD ***
Krok: 0040000 | Srednia nagroda: -90.30 | Skutecznosc: 0.0% *** NOWY REKORD ***
Krok: 0060000 | Srednia nagroda: -50.46 | Skutecznosc: 0.0% *** NOWY REKORD ***
Krok: 0080000 | Srednia nagroda: -51.67 | Skutecznosc: 0.0%
Krok: 0100000 | Srednia nagroda: -48.16 | Skutecznosc: 0.0% *** NOWY REKORD ***
Krok: 0120000 | Srednia nagroda: -37.54 | Skutecznosc: 0.0% *** NOWY REKORD ***
Krok: 0140000 | Srednia nagroda: -12.16 | Skutecznosc: 0.0% *** NOWY REKORD ***
Krok: 0160000 | Srednia nagroda: 2.67 | Skutecznosc: 1.0% *** NOWY REKORD ***
Krok: 0180000 | Srednia nagroda: 4.97 | Skutecznosc: 1.0% *** NOWY REKORD ***
Krok: 0200000 | Srednia nagroda: 7.67 | Skutecznosc: 1.0% *** NOWY REKORD ***
Krok: 0220000 | Srednia nagroda: 13.84 | Skutecznosc: 2.0% *** NOWY REKORD ***
Krok: 0240000 | Srednia nagroda: 34.10 | Skutecznosc: 8.0% *** NOWY REKORD ***
Krok: 0260000 | Srednia nagroda: 65.59 | Skutecznosc: 21.0% *** NOWY REKORD ***
Krok: 0280000 | Srednia nagroda: 119.63 | Skutecznosc: 40.0% *** NOWY REKORD ***
Krok: 0300000 | Srednia nagroda: 175.93 | Skutecznosc: 62.0% *** NOWY REKORD ***
Krok: 0320000 | Srednia nagroda: 138.57 | Skutecznosc: 51.0%
Krok: 0340000 | Srednia nagroda: 150.83 | Skutecznosc: 57.0%
Krok: 0360000 | Srednia nagroda: 198.68 | Skutecznosc: 73.0% *** NOWY REKORD ***
Krok: 0380000 | Srednia nagroda: 233.70 | Skutecznosc: 83.0% *** NOWY REKORD ***
Krok: 0400000 | Srednia nagroda: 200.45 | Skutecznosc: 72.0%
Krok: 0420000 | Srednia nagroda: 234.69 | Skutecznosc: 79.0% *** NOWY REKORD ***
Krok: 0440000 | Srednia nagroda: 275.69 | Skutecznosc: 95.0% *** NOWY REKORD ***
Krok: 0460000 | Srednia nagroda: 284.74 | Skutecznosc: 96.0% *** NOWY REKORD ***
Krok: 0480000 | Srednia nagroda: 280.93 | Skutecznosc: 94.0%
Krok: 0500000 | Srednia nagroda: 291.77 | Skutecznosc: 98.0% *** NOWY REKORD ***
Krok: 0520000 | Srednia nagroda: 290.29 | Skutecznosc: 98.0%
Krok: 0540000 | Srednia nagroda: 296.80 | Skutecznosc: 100.0% *** NOWY REKORD ***
Krok: 0560000 | Srednia nagroda: 297.31 | Skutecznosc: 100.0% *** NOWY REKORD ***
Krok: 0580000 | Srednia nagroda: 297.70 | Skutecznosc: 100.0% *** NOWY REKORD ***
Krok: 0600000 | Srednia nagroda: 290.54 | Skutecznosc: 97.0%
Krok: 0620000 | Srednia nagroda: 297.97 | Skutecznosc: 100.0% *** NOWY REKORD ***
Krok: 0640000 | Srednia nagroda: 298.37 | Skutecznosc: 100.0% *** NOWY REKORD ***
Krok: 0660000 | Srednia nagroda: 298.04 | Skutecznosc: 100.0%
Krok: 0680000 | Srednia nagroda: 298.91 | Skutecznosc: 100.0% *** NOWY REKORD ***
Krok: 0700000 | Srednia nagroda: 295.52 | Skutecznosc: 99.0%
Krok: 0720000 | Srednia nagroda: 295.80 | Skutecznosc: 99.0%
Krok: 0740000 | Srednia nagroda: 296.33 | Skutecznosc: 100.0%
Krok: 0760000 | Srednia nagroda: 298.50 | Skutecznosc: 100.0%
Krok: 0780000 | Srednia nagroda: 290.53 | Skutecznosc: 98.0%
Krok: 0800000 | Srednia nagroda: 298.01 | Skutecznosc: 100.0%
Krok: 0820000 | Srednia nagroda: 293.66 | Skutecznosc: 99.0%
Krok: 0840000 | Srednia nagroda: 297.31 | Skutecznosc: 100.0%
Krok: 0860000 | Srednia nagroda: 287.86 | Skutecznosc: 97.0%
Krok: 0880000 | Srednia nagroda: 287.06 | Skutecznosc: 97.0%
Krok: 0900000 | Srednia nagroda: 298.39 | Skutecznosc: 100.0%
Krok: 0920000 | Srednia nagroda: 295.81 | Skutecznosc: 99.0%
Krok: 0940000 | Srednia nagroda: 269.74 | Skutecznosc: 91.0%
Krok: 0960000 | Srednia nagroda: 299.25 | Skutecznosc: 100.0% *** NOWY REKORD ***
Krok: 0980000 | Srednia nagroda: 296.83 | Skutecznosc: 99.0%
Krok: 1000000 | Srednia nagroda: 298.95 | Skutecznosc: 100.0%
Krok: 1020000 | Srednia nagroda: 297.24 | Skutecznosc: 99.0%
Krok: 1040000 | Srednia nagroda: 296.50 | Skutecznosc: 99.0%
Krok: 1060000 | Srednia nagroda: 282.22 | Skutecznosc: 96.0%
Krok: 1080000 | Srednia nagroda: 295.63 | Skutecznosc: 99.0%
Krok: 1100000 | Srednia nagroda: 299.02 | Skutecznosc: 100.0%
